107186787,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"Where do I start? I checked into the noisest lobby of my life ( not their fault if they have loud guests I suppose) The worst part was probably when I arrived at the room.........and it was OCCUPIED by other guests- Beds unmade- sheets ( dirty)  I immediately called the front desk who said a room was unavailable at the moment- and that we would need to wait an hour or two till one is cleaned up?  Worst part. Not a single person on the staff apologized to me or the guests in the room. Nightmare!!!
 
 
 Room Tip:  Stay Anywhere Else
 See more room tips",1,negative
86280330,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"my husband and i stayed there for 9 nights as my husband was working in markham. i used the hotel gym and swimming pool each day, both were small but adequate. there was complimentary breakfast serving cereals, eggs, toast, waffles , cakes and coffee again more than adequate. tues, wed, and thursday they serve a compimentary light supper. there is a free laundry you just have to provide powder put dryers free, we had a one bedroom suite this was clean and modern no problems at all. as for the location of the hotel i was on foot as my husband took the car to work, so had to rely on the bus system which is easy to use and will get you to atleast 3 good shopping malls and to the subway into the city. its close to a busy road with lots of chinese, restaurants, cafes,supermarket and a macdonalds. we went to niagara for the weekend, a two hour drive,",4,positive
85071982,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,Our stay was not the worst I've ever stayed in however I wouldn't stay here again. Nothing within reasonable walking distance. Thin thin walls and although I can usually sleep through anything it was hard to ignore the hall noise and noise from other rooms. It sounded as if there were people in the bathroom from sound travelling through the fan vent. Having the sink outside the tub and toilet area with no pivacy door is uncomfortable when travelling with someone. Privacy is nice sometimes. The room was tired.,3,negative
79574338,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"I stayed here during a weeknight in July with my wife and 2 year old son after a trip to the Toronto Zoo. We picked this hotel because it was relatively close to the zoo, and was reasonably priced.   The room was clean and spacious, and the kitchenette was great for travelling with a young child.   The issue that we had was that we had booked a room with 2 beds, but were given a room with a queen bed and a pullout couch. Not a huge deal, but our son was pumped about sleeping in a ""big bed"", and could tell the difference between the bed and the pullout. I told the front desk that we had booked a room with 2 beds, but he said that according to their system, we had booked a suite with a queen bed. Apparently there were no rooms with 2 beds available, so we were stuck with 1 bed and a pullout.  I had noticed a card in the room that said if you weren't 100% satisfied, to let the hotel know. When we got home, I filled out a form on the Customer Care section of the chain's website describing the mixup. I received a reply shortly after that, with an apology and a statement that the management of the hotel would contact me via email within 48 hours (If they didn't, I was to respond directly to the email). No contact was made. I replied to the email, and a week later received another, similar, response by someone else at guest relations. Needless to say, I have not heard anything from the management of the hotel.",3,negative
78931757,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"Spent 5 weeks here while my home was prepped - we moved from BC. The staff are incredibly friendly, the breakfast buffet is a great way to start the day, and the 3 dinners each week are very pleasant - if a little repetitive.  We have recommended this place to many friends and everyone has been as pleased with their stay as we have been.",5,positive
78277874,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"My family booked this hotel and at first we were a bit wary because we were given a pre-paid rate of $119/night for a one bedroom suite with kitchenette that sleeps 6, but upon arrival we were so glad that we did! Everything was fantastic from check in to check out. The room was clean, well-stocked and the bathroom was spotless! The breakfast was hot, ample and the coffee was good and available all day. ALL FREE! The Belgain Waffles and toppings were as my teenagers stated ""AWESOMER"" The staff smiled when you passed them in the hall, and if you had a question, they dropped everything and took care of it immediately, making it seem like they truly enjoyed being there! We asked about laundry facilities and were absolutely surprised that it was FREE and the machines did a great job! We needed to do some BBQ'ing one evening and we were allowed to use the BBQ's in the courtyard. Again FREE! Even though we didn't get a chance to enjoy the evening refreshments of baked macaroni and cheese or the BBQ, if the breakfast was any indication then I am sure it would have been delicious. Again FREE! The courtyard was beautiful and clean! The hotel was busy and full, but there was no noise from any other guests, even walking down the hall. This hotel can be a bit difficult to find, but givies so much value for your dollar it is definately looking for. We are booking it again next summer for our annual trip to Toronto. WELL DONE Staybridge Team!",5,positive
77280589,markham\ca\181720\181948\107186787.html,Staybridge Suites Toronto,"Get directions from a mapping website before you go or use GPS. Our smoke detector battery went bad at 6am in the morning and we called twice to have it fixed. When we returned to the room after a day of sightseeing, after 8p, it was still beeping, making a 3rd call necessary. We also had to call for fresh towels which took an hour to get( this happened the same day as the beeping). Other than being frustrated with these things there are no compalints about the room itself.",3,negative
107808418,markham\ca\181720\181948\107808418.html,Staybridge Suites Toronto,"I booked through Hotwire and got a great price, but after reading some of the reviews here I was nervous. In the end, we were very pleasantly surprised with our stay here.   We had booked 2 rooms and were planning to have 2 people in 1 and 1 in the other, so after booking I emailed and requested 2 beds in 1 room if possible. I wasn't sure they would be able to grant this, since the 2 bed rooms normally are more expensive, but when we checked in they told us that both rooms had been upgraded to 1 bedroom suites with 2 beds each. The rooms were clean and very spacious--much more than what we needed, and they would be great for anyone there for a longer term stay.  We were basically just looking for a clean, comfortable place to sleep that included parking & breakfast, and Staybridge definitely offered that. The hotel was quite full the night we were there, including a large number of kids staying for a hockey tournament, so I was concerned about noise, but we didn't have any problems. It did mean that the pool was really full of kids in the evening.  The beds were a bit on the firm side for my taste, but it's also worth noting that I was more than 8 months pregnant during our stay so I'm a bit fussy about bed quality right now! I did discover that the couch was very comfortable, though.   The only oddity I found in the room was that the shower curtain was of the style that curves out from the tub, but the tub was standard size and the curtain did not reach very far down. The result was a pretty large puddle on the bathroom floor as water splashed out under the curtain.  Breakfast was fine for an included breakfast--the standard hotel fare (fruit, yogurt, breads, cereal, make your own waffles). The coffee was actually much better than average for a hotel, and even with the high occupancy there was plenty of food (we were there early).",4,positive
115650612,markham\ca\181720\181948\115650612.html,Staybridge Suites Toronto,"This hotel is one of the best I have ever stayed in. We rented a 2 bedroom suite for 4 nights the first week of June 2011. Check in was quick and the lady at the front desk was very friendly and polite. The suite was very clean and spacious. The kitchen area was great and fully equipped. The have thought of everything from a toaster, coffee maker, tea kettle, pots/pans, dishes, silverware, bottle opener, can opener... the list goes on and on. The fridge was so clean it looked brand new. The location is perfect. Not too far from anything. We went to Canada's Wonderland (25 minutes), Toronto Zoo (25 minutes) and there is a grocery store less than 10 minutes away. I will definately stay at this hotel again and recommed you give it a try.",5,positive
115793574,markham\ca\181720\181948\115793574.html,Staybridge Suites Toronto,"Stayed there for 3 months. very comfortable. facilities like gym, pool are nice.. delicious breakfast. I liked it because of the small kitchenette available in suite. very cooperative in providing utensils like cooker, pans, etc. if you are bored of having outside food.. get your grocery and cook at your suite.. the best option for those who miss indian food.
 
 
 Room Tip:  comfort stay with value
 See more room tips",5,positive
